timestamp,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
13:45.2,871342,220580,160926,72758,415252,49043,12691,276485
13:46.3,144637,16992,46727,28911,18536,9552,1762,273157
13:47.2,1190381,90218,70722,33483,72453,32178,10427,272645
13:48.2,114795,68418,62448,59825,23063,38959,3348,273413
13:49.2,154532,122303,139156,96249,54354,15952,3606,271621
13:50.2,468989,30051,89823,27286,53369,8412,41653,271621
13:51.2,850603,39878,41237,30096,36250,19415,12759,270853
13:52.2,77736,50721,11959,36653,12791,11740,4759,270853
13:53.3,223879,38052,72126,86113,42311,67137,9726,270853
13:54.2,271331,129952,17161,22426,18623,33888,8757,270853
13:55.2,34339,18787,11969,22244,20015,4195,1353,270853
13:56.2,191349,16677,6222,7158,12646,3834,3875,269061
13:57.3,60686,5297,14165,29721,9273,5094,3269,269061
13:58.2,18637,8361,3580,4533,4607,4841,1075,272389
13:59.2,190913,16873,11034,9162,16847,5446,2344,272389
14:00.3,217425,89757,95881,79668,34921,29221,11020,271877
14:01.2,97134,28499,3942,9290,8604,4356,4058,272389
14:02.2,110058,52401,22136,65733,36888,19809,10905,273157
14:03.2,676601,655521,123261,73041,94245,86201,71700,272645
14:04.3,447872,158705,37107,72500,43613,7245,8951,271877
14:05.2,13087,1531,877,1757,3115,2844,645,271877
14:06.2,24864,8265,3981,16077,8166,6640,2702,274949
14:07.2,540518,386780,109575,354835,108275,91303,74006,273157
14:08.2,29818,6246,2004,6188,4399,2954,386,274437
14:09.2,32608,36856,7808,7239,19113,11069,1135,277765
14:10.2,59534,25647,5848,7951,24784,2139,771,278277
14:11.3,344647,28317,14875,24770,54847,9406,4691,279045
14:12.2,16336,6889,4018,6517,2644,978,362,278533
14:13.2,162882,27563,91169,46807,26605,7310,7571,275973
14:14.2,222527,63863,54734,27770,116830,31076,10582,276741
14:15.2,119062,30696,25842,53150,22716,13623,4598,276485
14:16.3,74477,4024,53776,20841,17365,14448,2433,276741
14:17.2,446142,28672,34398,69060,41554,50424,10456,276741
14:18.3,614533,324093,180492,513910,181404,68478,92998,274949
14:19.2,29319,9107,37132,18794,24635,7487,1780,276741
14:20.2,168250,58226,11307,78278,53226,5886,2279,278277
14:21.2,795484,263251,199903,257357,213654,84294,26247,280069
14:22.3,349032,12818,16587,115684,62347,10118,3586,280069
14:23.2,91893,19339,23812,16789,35414,37853,5963,279301
14:24.2,581997,225806,85775,236793,157331,65964,13157,279045
14:25.3,194869,2714,61876,20728,31641,12710,9427,277765
14:26.2,119615,95274,31620,52494,34334,18896,14225,276741
14:27.2,759017,82059,174809,72140,41267,27008,12736,272645
14:28.2,80616,443266,140867,61386,81911,61479,24059,271877
14:29.3,82013,12167,11225,24534,23561,9532,12648,273157
14:30.2,214788,29041,35939,23335,23296,8527,4612,272389
14:31.2,216925,92419,159133,34383,93627,41808,7380,275717
14:32.3,182292,24970,33869,108867,48035,12258,5150,276741
14:33.2,70898,20217,12658,9147,6894,2972,694,274181
14:34.2,73158,14957,20213,20401,11467,4009,1471,274949
14:35.2,31777,15430,11310,14205,6922,2264,2337,273413
14:36.2,1395833,111770,60162,234459,148378,24775,15719,272389
14:37.2,31726,6292,2638,1919,3655,800,425,273157
14:38.2,38465,26496,34343,28772,31072,7431,3484,275717
14:39.2,171414,100112,39624,78202,45728,11504,2875,275973
14:40.3,128814,33544,129991,30872,63706,34557,10566,277765
14:41.2,551386,23888,62281,225510,35709,37967,16189,276485
14:42.2,67389,109049,22502,24727,9475,3990,5685,272389
14:43.2,45424,28393,24362,8275,14354,7552,2006,272389
14:44.2,276659,192877,51414,44692,67323,70664,18641,271109
14:45.2,228611,45561,122805,37087,46914,33599,25531,272645
14:46.2,70839,5475,43330,6332,21122,16653,5346,275717
14:47.3,162583,405898,248389,188864,177111,26528,8251,276485
14:48.3,166224,138829,23758,104934,46543,21728,4260,276485
14:49.2,145598,25815,91392,32139,49606,8320,5071,277509
14:50.2,82361,38419,107425,43733,47826,10111,4484,277765
14:51.2,162934,32759,23102,11583,14367,4786,1063,275205
14:52.2,836710,53382,74697,90749,39581,29349,5945,272389
14:53.2,65809,24285,20827,40245,18771,10966,3417,272389
14:54.3,211420,50885,46245,58755,50082,18370,20542,271877
14:55.2,102763,10228,38954,23474,12694,13041,3361,272389
14:56.2,29282,4097,22981,32670,22003,22079,7052,277509
14:57.2,320926,340749,143550,98065,159854,71091,29408,277765
14:58.2,122306,35379,47893,73444,13437,11192,6520,275717
14:59.2,528810,2051471,536073,620406,377560,239973,30848,276741
15:00.2,21040,3313,3336,2578,3375,3091,519,274181
15:01.2,1207131,224037,201361,84298,172474,98848,61908,272645
15:02.2,92548,13159,45377,9148,8440,6502,3114,272389
15:03.2,243116,43462,7962,31421,20648,20750,15934,271109
15:04.3,67195,13814,22485,2753,4544,10252,1226,268293
15:05.3,1225659,370586,22869,51822,15800,15464,6845,263941
15:06.2,253168,64585,140291,78904,130180,11931,4627,268037
15:07.2,13355,5962,2082,836,1830,899,386,268805
15:08.2,202255,45256,43203,39249,43808,22558,8069,271877
15:09.2,220133,7934,29981,9079,10171,10726,3436,274949
15:10.2,281673,53366,18787,25755,15550,8288,2894,270853
15:11.2,669406,131986,193086,86433,32577,69176,44687,268293
15:12.3,387795,40467,68637,35228,28031,14271,8903,265733
15:13.2,16009,7018,7498,5488,1635,784,293,265733
15:14.2,43406,34768,13649,9385,11272,2828,809,268805
15:15.2,103137,31355,41533,18366,27862,15679,1361,271621
15:16.2,215990,50191,29766,52091,51686,17351,11390,275205
15:17.2,88365,53738,8993,6075,11573,5711,1379,275973
15:18.2,173450,18273,35865,29999,27028,17350,1215,275973
15:19.2,89955,75194,49414,26432,33375,25538,13415,275973
15:20.3,299439,1503,14574,7160,9820,3068,1678,272389
15:21.2,351908,41947,119813,87420,24432,21925,7368,271109
15:22.2,15743,6866,2044,2688,2847,2428,335,271109
15:23.3,211398,4799,8324,18349,17930,6207,1326,269061
15:24.2,140211,5719,28167,20643,6025,3955,1993,269061
15:25.2,880581,95730,90756,70787,121382,112928,7981,271621
15:26.2,22107,4693,3562,3400,2839,2979,482,271109
15:27.2,76179,100284,55605,38619,54268,7333,3916,273413
15:28.2,70043,19190,3290,12583,11739,7054,3518,276485
15:29.2,87012,27821,98807,31436,16493,12018,3016,275717
15:30.3,129967,63713,48983,77977,140348,13883,19633,279813
15:31.2,162085,50681,28803,42329,24289,7556,6962,278277
15:32.2,107258,8417,11574,21123,13071,10944,2309,277509
15:33.2,16231,3794,1496,7188,2173,1843,596,278277
15:34.2,1692617,70627,344760,162538,159565,69008,31457,273157
15:35.2,109611,85548,98080,45949,118170,12429,4756,276485
15:36.3,32181,16876,7746,13067,11409,2534,900,278277
15:37.3,341859,100099,93967,45005,114873,42418,14412,279301
15:38.2,143701,62441,17583,16829,9080,10124,2145,278533
15:39.2,24552,38692,41574,19907,9286,2708,2725,275205
15:40.2,36022,6066,29297,16601,11964,1207,474,274949
15:41.2,253231,50205,36057,22984,28248,4563,3444,272645
15:42.2,75881,2960,21211,6271,5921,2952,935,273413
15:43.2,148274,116854,127460,21686,28513,10143,7432,272645
15:44.2,127745,19868,30406,14507,14436,6505,1412,271621
15:45.2,334591,207745,97328,328412,123681,53066,54362,273413
15:46.2,11273,6339,7391,1785,4893,428,138,275973
15:47.2,72363,6507,2424,3902,10533,5866,1150,277509
15:48.3,737115,126501,76230,95394,90987,50096,31552,277765
15:49.2,38214,51660,28629,32627,43233,41830,21537,279045
15:50.2,121803,17427,63671,4533,43579,14253,5034,279045
15:51.2,249418,160529,63611,87400,37670,24922,19478,277765
15:52.3,263254,214798,110881,53854,122232,32036,6870,279301
15:53.2,234454,18592,20759,21768,15672,14109,1879,275717
15:54.2,538146,232389,31937,99915,53665,20175,14956,273157
15:55.3,323680,47596,53556,59107,102709,70937,25292,275717
15:56.2,13307,8034,4227,3374,3855,1980,300,275205
15:57.2,226121,19271,56986,37403,35709,34881,5879,276485
15:58.2,30328,6244,3076,14413,12797,4004,1254,280069
15:59.2,55859,15398,14408,17864,48521,19653,3467,282117
16:00.2,180056,100990,65009,36944,33984,22583,8570,281349
16:01.2,204368,25269,52612,49063,87930,37030,5356,281349
16:02.3,379859,45170,56198,12525,20081,8350,2760,281349
16:03.2,101600,70695,25084,26918,16464,11720,2220,280069
16:04.2,337641,42430,48777,104485,71160,18344,13620,279045
16:05.2,11755,10920,7888,5854,17978,3622,660,279045
16:06.3,314413,134427,200327,109181,76334,22174,5925,279301
16:07.2,30451,4045,8445,8879,15047,2804,450,282629
16:08.3,54730,18861,21254,29564,12965,2143,674,282117
16:09.2,17874,6178,13937,9515,3880,1763,477,277765
16:10.2,73031,9097,9739,3695,4687,2439,911,275717
16:11.2,119531,12196,26171,4144,11756,3681,1524,272389
16:12.2,156730,28848,26327,35294,38053,9391,10532,272645
16:13.3,777397,142222,41208,149062,102919,16450,5729,272645
16:14.2,72625,10459,1934,24805,14530,1822,523,275717
16:15.2,945406,111645,184606,202488,132206,24228,16690,276485
16:16.2,39412,16403,7003,16592,13514,3841,1247,276485
16:17.2,49336,2839,16130,11447,4808,853,461,275717
16:18.2,13935,1723,1250,1954,4909,397,144,276485
16:19.2,667115,175205,170230,149299,109178,26287,15539,276485
16:20.2,82136,11429,7051,22537,8080,7879,1756,274437
16:21.2,268379,108075,42980,27299,22445,8002,2269,273413
16:22.2,51226,15593,3586,2560,3686,2223,1270,269829
16:23.2,41984,46207,10331,22312,17539,3725,2856,271109
16:24.3,139296,34229,51028,17625,21921,7145,2789,271621
16:25.2,94990,9701,10710,10001,5646,5165,1270,271621
16:26.2,442795,53931,60142,17987,23990,14279,5739,270853
16:27.2,131012,5022,11252,5493,1817,2347,628,264709
16:28.2,253623,128536,36497,25563,16559,7022,3499,262917
16:29.2,149184,4196,15584,14975,4343,2772,1520,262405
16:30.2,87084,58374,25668,35533,18065,8178,5371,263941
16:31.3,49361,6938,6161,7411,7454,2116,864,268805
16:32.2,229781,171625,18508,19926,23790,21867,6393,269061
16:33.2,334325,53937,19640,25200,8417,9580,2978,268805
16:34.2,161840,54235,26292,31512,9024,9862,3834,266501
16:35.2,16254,5651,3353,981,3449,989,712,266501
16:36.2,508137,10377,83441,38638,73739,27698,2941,268293
16:37.2,21811,4473,1476,1884,1088,815,432,269829
16:38.3,201637,16692,46358,32878,24987,45159,10202,271877
16:39.2,62956,27363,4771,5071,4149,3041,635,269573
16:40.3,220691,118141,93442,47030,33647,34138,13806,268805
16:41.2,437325,29678,87166,56290,100852,22423,8130,272389
16:42.2,560716,25406,19242,19196,18923,12097,4858,269573
16:43.2,154375,14872,40466,44831,33152,30685,4149,272645
16:44.2,27256,9985,4286,1840,5032,2392,835,273413
16:45.2,162518,76329,59977,18874,29689,26102,4216,272389
16:46.2,143797,40885,39230,23865,17217,10144,8225,274437
16:47.2,87487,24343,7920,7615,12919,5240,1378,273157
16:48.2,72303,19360,6976,28094,5912,2744,2006,271621
16:49.3,54366,9230,10695,2075,7194,2631,1588,271621
16:50.2,2234250,784930,172026,386579,220486,64868,16668,271109
16:51.2,80870,2891,19354,21878,19765,24427,4031,272645
16:52.2,109184,92208,59283,84135,70318,22401,2809,275973
16:53.2,136660,67641,54592,15080,62068,9363,4912,278277
16:54.2,233002,75330,59759,44296,117480,42204,1909,281861
16:55.2,95874,46136,55403,60454,46274,6915,1562,282117
16:56.3,260689,301351,113054,212488,71700,30167,7237,279813
16:57.2,9348,7282,4324,5065,3809,1905,1082,279045
16:58.2,37230,12923,8060,27263,17303,2802,1133,279045
16:59.2,371995,43626,24893,40316,52290,38533,6511,277509
17:00.2,90216,33337,45749,24712,13368,14649,3345,276741
17:01.2,268741,55608,95525,150430,159679,27616,21515,278533
17:02.2,161001,31228,25583,25930,33593,16064,4629,277509
17:03.2,45919,34344,19592,15744,34328,3817,1150,277509
17:04.2,60023,4146,12862,6989,4560,9490,316,277509
17:05.2,75111,52631,15415,11748,15597,12076,5983,277509
17:06.2,6463,15804,8396,12932,4125,3839,1991,278533
